"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"96";"1633";"(1) Eugenio Dilermando da Silveira";"Capital Federal";"Uma nova telha para cobertura de casas.";"Idem";"Idem."
"97";"1631";"Karl Muller";"Allemarha";"Processo 0 perfeiçoado de classificação";"18 de agosto";"Idem."
"98";"1635";"Evaristo C. Engelberg e Pedro A. Engelberg";"Estado de S. Paulo";"Um ventilador para café, arroz, etc., deno- minado - Ventilador Engelberg.";"Idem";"Idem."
"90";"1636";"Gerard Beckman";"New York";"Aperfeiçoamentos em machinas de colher al- godão.";"Idem";"Idem."
"100";"1637";"(²) Antonio José Caetano Junior.";"Capital Federal";"Um apparelho denominado - The Outlet, des- tinado a regularisar a partida de animaes em prados de corridas";"29 de agosto";"15 annos."
"101";"1638";"Franklin Preice Hummel.";"Blessfiel ( Estados Unidos da America do Norte)";"Movimento mecanico";"11 de outubro";"Idem."
"102";"1639";"L. Beligard e E. Fregeac";"Pariz";"Aperfeiçoamentos na fabricação de chapéos e uma machina para esse fim.";"Idem";"Idem."
"103";"1640";"Feliciano Pires de Abreu Sodré";"Rio de Janeiro";"Applicação da palha da planta denominada - Paja de escoba - á fabricação de vassouras e outros objectos, bem como da utilisação das outras partes dessa planta para outros fins.";"Idem";"Idem."
"104";"1611";"Max Eberhardt.";"Suissa.";"Composição Eberhardt - para extincção de in- cendios";"Idem";"Idem."
"103";"1642";"Dr. Antonio de Castro Lopes.";"Capital Federal";"Um processo para conservar agua perpetua- mente fresca";"6 de novembro.";"Idem."
"106";"1643 -";"George Dixon";"Inglaterra";"Melhoramentos em machinas a vapor";"Idem";"Idem."
"107";"1644";"Leonardo Botelho.";"Estado de s. Paulo";"Um descascador de café denominado - Descas- cador bi-conico Botelho.";"Idem";"Idem."
"108";"1615";"Gierth & Lavagnino";"Capital Federal";"Um apparelho para incinerar lixo, denomi- nado - Incinerador Gierth & Lavagnino.";"Idem";"Idem."
"100";"1616";"Nicolas Iseli";"Suissa.";"Novo processo de purificação dos flegmas ou liquidos aquosos provenientes da fabri- cação do alcool, dos oleos e materias gordas";"Idem";"Idem."
"110";"1617";"Giacomo Durio e Secondo Durio";"Turim (Italia)";"Aperfeiçoamentos no curtimento de couros e pelles";"Idem";"Idem."
"111";"1618";"Elisha Gray";"Illinois (Estados Unidos da America do Norte).";"Telegrapho - escrevente";"Idem";"Idem."
"112";"1649";"Hermillo Alves & Francisco Mourão";"Minis Geraes";"Systema de telhas chatas denominadas - Telhas Marçalezas";"Idem";"Idem."
"113";"1650";"Alexandre Vaisset";"Estado de s. Paulo";"Um apparelho para elevar cargas denomi- nado - Monte charge Alexandre Vasset";"Idem";"Idem."
"114";"1651";"Christian Hansen";"Fredenchibey ( Dina- marca)";"Um balanço - Ventilador mecanico";"Idem";"Idem."
"115";"1652";"Agostinho Nogueira da Silva";"Estado de S. Paulo";"Um descascador duplo para café denominado - Descascador Nogueira";"9 de novembro.";"15 annos."
"116";"1653";"Frederico Strang";"Minas Geraes";"Um seccador para café denominado - Seccador Universal.";"Idem";"Idem."
"117";"1654";"Otto Hoffmam";"Manchester";"Melhoramentos em apparelhos destinados a humedecer o ar, ventilar casas, pulverisar, impedir e distribuir sob fórma de chuvisco qualquer liquido ou fluido";"Idem";"Idem."
"118";"1655";"José Francisco Franco";"Capital Federal";"Um carvão artificial denominado -- Carvão economico";"Idem";"Idem."
"119";"1656";"Arthur Octavius Wright";"Birminghan (Inglaterra).";"Melhoramentos em sarrafos e folhas de ta- boas para tectos, soalhos, divisões e outros fins identicos e nas machinas para fabri- cal-os.";"Idem";"Idem."
"120";"1657";"Manoel Rabello Lobo Guimarães";"Capital Federal";"Uma cama despertadora";"Idem";"Idem."
"121";"1658";"Joaquim Antonio de Oliveira";"Idem";"Um processo especial para a fabricação da ba- nha commum, destinada ao uso domestico.";"Idem";"Idem."
"122";"1619";"Joaquim Leocadio Freire e José Hilario Freire";"Estado de s. Paulo";"Melhoramentos introduzidos na sua invenção privilegiada de - um catador de pedras ""Ca- capava"" para café côco.";"Idem";"Emquanto vigo-"
"123";"1659";"Alexandre Vaisset.";"Idem";"Um systema de fechaduras de segurança de- nominado - Systema Vaisset.";"25 de novembro";"rar a patente primitiva. 15 annos."
"121";"1660";"J. Bevilacqua & Comp.";"Capital Federal";"Applicação do systema tachygraphico Tessaro á impressão de cartas geographicas e outras.";"Idem";"Idem."
"123";"1661";"João Milton";"Alexandria, Estados Uni- dos da America do Norte) ).";"Fumivoros para fornalhas da caldeiras";"Idem";"Idem."
"126";"1662";"Robert Bell";"Glasgow (Escocia)";"Aperfeiçoamentos nos meios e apparelhos desti- nados a aquecer ou ventilar carros de estradas de ferro";"Idem";"Idem."
"127";"1663";"Jean Baptiste Vernay";"Lyão (França).";"Uma machina de fabricar garrafas e quaesquer objectos de vidro soprado, systema J. Vernay";"Idem";"Idem."
"128";"1664";"Alfredo Antonio Cardoso e Bastos.";"Estado des. Paulo";"A pparelhos que se adaptam e teem por motor o machinismo do relogio commum, podendo ser applicados conjuncta ou separadamente, deno- minado - Mneinogen3 e Telemoto";"Idem";"Idem."
"129";"1665";"Manoel Baldoino Ferreira";"Capital Federal";"Um novo systema de parallelipipedos para cal- çamentos de ruas, praças, etc., denominado - Sulcos-mosaicos.";"Idem";"Idem."
"130";"1669";"João Julio.";"Estado des. Paulo";"Melhoramentos introduzidos na sua invenção privilegiada de - um novo systema de for- nalhas economicas, denominada - Fornalha economica paulistana.";"Idem";"Idem."
"131";"1666";"Dr. Augusto Ferreira Ramos";"Idem";"character(0) Um apparelho destinado a produzir o secca- mento do café e outros grãos, denominado -Seccador Augusto";"4 de dezembro";"Idem."
"132";"1667";"Georges Antoine Bazé";"Habana (Cuba).";"Um desfibrador aperfeiçoado para a canna de assucar";"Idem";"Idem."
"133";"1668";"Joanna Carolina Mittelsteid.";"Estado des. Paulo";"Um machinismo destinado a beneficiar o fabrico da farinha de mandioca ou propriamente para raspar mandioca";"16 de dezembro";"Idem."
"134";"1669";"Carlos Grassi e Carlos Conti,";"Idem";"Um systema de grelha para caldeiras a vapor ou fornalhas de quaesquer fornos, denominado - Grelha Conti";"Idem";"Idem."
"135";"1670";"character(0) Charles Luyers";"Bruxellas (Belgica).";"Aperfeiçoamento nos freios de caminhos de ferro";"Idem";"Idem."
"136";"148";"Companhia Mecanica e Importadora de São Paulo";"Estado de S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, para descascar café mediante a machina denominada - Engelberg";"Idem";"Emquanto vigo- rar a patents primitiva."
"137";"1671";"character(0) Abner Duell Thomas";"Arkansas (Estados Unidos da America do Norte)";"Um methodo e apparelho para limpar caroços de algodão";"26 de dezembro";"15 annos."
"138";"1672";"Victor Aliquant";"Capital Federal.";"Uma correia mixta de couro e aço, destinada a diversas applicações na industria e denomi- nada - Correia de segurança";"27 de dezembro";"Idem."
"139";"1673";"character(0) Carlos Augusto de Castro e Silva";"Minas Geraes";"Um apparelho lenominado-Engenho Ambu- lante";"Idem";"Idem."
"140";"1674";"Robert Hutchison";"Springwale Mills (Escossia)";"Aperfeiçoamento no tratamento, preparação ou formação de compostos de gutta-percha e borracha.";"27 de dezembro";"15 annos."
"141";"1675";"Augustin Avrial.";"Pariz";"Uma machina de coser, portatil, de acção di- recta, actuada pela pressão da mão ou do pé.";"Idem";"Idem."
"142";"1676";"Louis Emerson Howard";"New-York";"Melhoramentos em lampadas de arco electricas";"Idem";"Idem."
"143";"1677";"João Paulo de Almeida";"Estado de s. Paulo";"Um descascador de café denominado - Deseas- cador Paulo de Almeida.";"30 de dezembrc";"Idem."
