"";"N";"CONCESSIONARIO";"RESIDENCIA";"OBJECTO";"DECRETO";"DURAÇÃO"
"73";"2.245";"Albert Legge Charles Ward Weston.";"E. U. da America do Norte";"Aperfeigoamentos em machinas de costura.";"30 de abril";"Idem."
"74";"2 216";"George Spalding e John Steele Robbins.";"Idem";"Aperfeiçoamento em arados de disco rotatorio.";"Idem";"Idem."
"75";"2.247";"Daniel Hug";"Idem";"Aperfeiçoamento em rodas para agua";"Idem";"Idem."
"76";"2.248";"Richard Stachowr.";"Allemanha";"Protector para solas de calçado";"4 de maio";"Idem."
"77";"2.219";"Migu 1 Sanchez Escribano";"Capital Federal";"Apparelho denominado - Gaveta de segurança electrica";"Idem";"Idem."
"78";"2.250";"Ignacio Lopes de Siqueira.";"s. José do Alegre.";"Prensa continua para mandioca e outros pro- duetos, denominada - Compressor Siqueira.";"5 de maio";"Idem."
"79";"2.251";"Ignacio Lopes de Siqueira";"Idem";"Torrador para farinha de mandioca ou outros productos destinados a serem seccaitos ou tor- rados, denominado - Torrador Siqueira";"Idem";"Idem."
"80";"2.252";"Guilhaume Schoonpans";"Bruxellas.";"Apparelho aperfeizoado de aquecimento a gaz.";"Idem";"Idem."
"81";"2.253";"Léon Emile Borbon.";"Pariz";"Apparelho gazogenico combinado, systema E. Bourbon.";"Idem";"Idem."
"82";"2.253 bis";"André Braly e Louis Braly.";"Idem";"Melhoramentos introduzidos em sua invenção de um novo systema de rotulo que garante a nu- thenticidade e proveniencia de qualquer pro- ducto, privilegiada pela patente n. 2.233, de 13 de abril de 1897";"21 de maio";"Emquanto vigorar a patente n. 2.233, de de abril 1897."
"83";"2.254";"Francisco de Cumargo Pinto.";"Curityba";"Apparelho para torrificar matte.";"Idem";"15 annos."
"84";"2.255";"rules Gersant e Archibald George Buttifan.";"Londres";"Systema aperfeiçoado de fechar hermeticamente latas de metal e objectos semelhantes,";"Idem";"Idem."
"8ã";"2.251";"Marie Legay.";"Capital Federal";"Collete aperfeiçondo para senhora";"Idem";"Idem."
"86";"2.257";"Eugene Couteau";"Idem";"Novo systema de ferragem para escada de abrir.";"Idem";"Idem."
"87";"2.258";"Henry Cousin";"Pariz";"Aperfeiçoamentos em apparelhos destinados a fabricar acetylene.";"Idem";"Idem."
"88";"2.259";"João José da Silva";"Capital Federal";"Motor a agua, denominado - Motor Silva.";"Idem";"Idem."
"89";"2.250";"George Shenton.";"Londres";"Processo para a extração da gutta-percha, ou substancias analogas";"Idem";"Idem."
"90";"2.261";"George Shenton.";"Idem";"Processo aperfeiçoado de obter e purificar gutta- percha";"dem";"Idem."
"91";"2.262";"Melvin Linwood Severy";"Boston (Estados Unidos da America do Norte)";"A perfeic pamentos em quadros de prensas de im- primir";"21 de maio";"15 annos."
"92";"2.263";"Philip Zephaniah Davis";"Somit (Estados Unidos da America do Norte).";"Aperfeiçoamentos emprodas de vehiculos";"Idem";"Idem."
