"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2867, (ter),";"14 de set. de 1900.";"Idem";"Idem";"Idem, idem."
"2.942 (bis):";"20 de abril de 1900.";"Aloys Driesler e Georg Mas- chke.";"Idem";"Melhoramentos introduzidos na invenção, já privilegiada, de um processo de purificação e liquefação de acido carbonico obtido pelo prosesso de fermentação alcolica."
"2.950 """;"14 de nov. de 1900.";"Carlos Ernesto de Miranda .";"Idem";"Melhoramentos introduzidos na invenção já privilegiada, de aperfeiçoamentos em rodas para carros, carroças e vehiculos semelhan- tes."
"3.012";"8 de março de 1900";"Companhia Nacional Manu- factora de Fumos.";"Idem";"Melhoramentos introduzidos na invenção, já privilegiada, de uma caixinha-cigarreira."
"3.014";"3 de agosto de 1900";"Carlos Piquet";"Idem";"Melhoramentos introduzidos na invenção já privilegiada, de carteira para cigarros ou charutos denominada - Carteira fiscalisa- dora."
"";"";"";"";""
"1";"20 de janeiro de 1900.";"Fernand Eugene Del- croix.";"Capital Federal";"Um combustor especial para a illuminação a gaz por incandescencia denominado - Bico Delcroix."
"2";"25 "" "" "" """;"Alfredo Emilio Pacheco de Mello.";"Idem";"Apparelho destinado á lavagem e desinfecção de latrinas, mictorios, vallas, receptaculos de aguas servidas, etc., denominado - De- sinfectador automatico."
"3";"27 "" "" """;"Dr. José Augusto Qui- rino dos Santos.";"Estado de S. Paulo.";"Um novo meio para augmentar o alcance dos projectis, lançados pelas carabinas e outras armas de guerra e caça."
"4";"27 "" "" """;"Idem";"Idem";"Um novo systema de luz electrica, denominado - Systema Lecroix - Quirino."
"5";"27 "" "" "" """;"João Tiburcio Fiuza de Lima.";"Estado de Pernambueo.";"Cadeira - Salva-vida."
"6";"19 fevereiro de """;"Antoriio Joaquim Peixoto de Castro e Mary Haas.";"Capital Federal.";"Fôrma aperfeiçoada para esfriar sabão deno- minada - Peixoto-Haas."
"T";"22 "" "" "" """;"Pedro Antonio Sant'An- gelo.";"Estado de S. Paulo";"Separador para café denominado - Separador Cylindro Santingelo - dito machina typo A."
"8";"22 "" "" "" """;"Idem";"Idem";"Ventilador para café, denominado - Ventila- dor Singelo Santangelo-dito machina typo B."
"9";"22 "" "" "" """;"Idem";"Idem";"Descascador para café, denominado - Descas- cador Santangelo - dito machina typo C."
"10";"22 "" "" """;"Idem";"|Idem";"Ventilador duplo denominado - Ventilador duplo Santangelo - dito machina typo D."
"11";"22 "" "" """;"Idem";"Idem";"Brunidor de café, denominado - Brunidor de café Santangelo - dito machina typo E."
"12";"22";"Idem";"Idem";"Catador para café denominado - Catador uni- forme Santangelo - dito machina typo F."
"13";"22 "" """;"Idem";"Idem";"Separador completo para café denominado - Separador cylindrico completo Santangelo- dito machina typo G."
"14";"7 "" março";"Alfredo Angelo";"Capital Federal";"Um motor-continuo"
"15";"8 "" """;"Roberto Stuve.";"Estado do Rio de Janeiro.";"Gravata separavel."
"16";"9 "" "" """;"João Cateysson";"Capital Federal";"Apparelhos distribuidores automaticos de mer- cadorias."
"17";"9 "" """;"Luiz Deumond Fran- klin.";"Estado de Minas Geraes";"Uma chaminé aperfeiçoada destinada a loco- motivas empregando carvão e madeira como combustivel."
"18";"13";"Elesião Linhares Pereira";"Estado do Espirito Santo.";"Um apparelho para abrir, fechar portas, ja- nellas, etc., de e dificios."
"19";"13";"Pedro Antonio Sant'An- gelo.";"Estado de S. Paulo.";"Engenho para beneficiar café denominado - Engenho de café Brazileiro."
"20";"20";"Affonso Coelho Seabra";"Estado do Rio de Janeiro.";"Um motor para gabinete de dentista e appa- relhos aperfeiçoados para o mesmo."
"21";"26 """;"José Carlos do Patro- cinio.";"Capital Federal";"Apparelho propulsor para aerostatos."
"22";"31";"Emilio Julio Hess";"Idem";"Novo processo de fabricação de gelb."
"23";"7 "" abril";"Jayme Benevolo e João Baptista da Motta.";"Idem";"Uma nova applicação de valvulas de qualquer systema, aos medidores de gaz da illumi- nação com o fim de impedir a retirada de agua dos mesmos, quer por meio de com- pressão quer por meio de aspiração do ar."
"";"";"";"";""
"24";"14 de abril de 1900";"Dr. Francisco de Paula oreira Mourão.";"Estado de Minas Geraes";"Applicação nova do oxydo de manganez, bem como dos seus compostos e derivados, á con- fecção da posta de argilla destinada a ce- ramica."
"25 26";"19 "" "" "" 19";"Ameand Lamothe. Euzebio Maximiano Pi- res Ferreira.";"Estado do Rio de Janeiro. Capital Federal";"Nova roda propulsora. Trave para bonds auxiliada pelo movimento do proprio bond, denominada - Trave auxiliar."
"27";"19 """;"Joaquim de Oliveira e Souza.";"Estado de Minas Geraes";"Apparelho para alisar e brunir palhas para cigarros e outros fins."
"28";"23";"Alberto Fernandes de Souza";"Capital Federal";"Um apparelho denominado - Rapido auxiliar."
"29";"23";"Fernando Pinheiro Paes Leme.";"Estado do Rio de Janeiro.";"Applicação da cortiça do campo ou pão santo (Kielmeyera) para formar substancia do ca- loris."
"30";"2 maio";"Vicente di Martino";"Capital Federal";"Um cartão reclame denominado - Bilhete re- clame systema V. di Martino."
"31";"29";"Alfredo de Simas Enéas.";"Idem";"Um systema de fechamento e impermeabilidade dos caixões para o transporte de cadaveres afim de evitar a contaminação pelos gazes da decomposição, durante o trajecto dos mortos para os cemiterios."
"32";"20 junho";"Manoel de Miranda Ro- sa e Ernest Charles Dealtry.";"Idem";"Apparelho para obter força motriz sem appli cação de qualquer combustivel ou outro modo até hoje conhecido."
"33";"3 de julho";"Arthur Diniz Lagarde";"Estado do Rio de Janeiro.";"Coupons fiscaes, para tramway, bond ou es- tradas de ferro, transporte maritimo ou fluvial."
"34";"3";"Idem";"Idem";"Impermeabilidade dos tecidos"
"35";"9 """;"Henrique Meilck e Fre- derico Brinder.";"Estado do Pará";"Processo de preparação de uma massa de pe- dra artificial, denominada - Pedralitta-Can- taria."
"35";"9";"Idem";"Idem";"Processo para fabrico de parallelipipedos arti- ficiaes denominados - Parallelipipedos Fun- litto."
"37";"";"Idem";"Idem";"Processo para preparo de pedras de alvenaria de tijolo denominado - Tijolo Aveiacalitho."
"38";"9";"Feliciano Pires de Abreu Sodré.";"Estado do Rio de Janeiro.";"Cartões para ensino escolar, denominados - Cartões escolares Sodré."
"39";"";"Giuseppe Marchi";"Capital Federal";"Apparelho aperfeiçoado para producção de gaz acetyleno."
"40";"13";"Joaquim José Ramos Maia.";"Idem";"Uma cadeira portatil que denomina - Brazil."
"41";"25";"Alexandre Miranda";"Idem";"Uma nova carteira para cigarros denominada - Indicadores."
"42";"27";"Lucas Peclonau e Char- les Gabriel.";"Idem";"Novo processo de desagregação das plantas textis."
"43";"27";"Carlos Silva";"Estado de s. Paulo.";"Fogão aperfeiçoado denominado - Fogão Car- los Silva."
"44";"3 "" agosto";"Coronel Alfredo Ernesto Jacques Ouriques e João de Simas Enéas.";"Capital Federal";"Argamassa destinada ao fabrico de isoladores electricos e quaesquer objectos em que seja necessario o emprego de uma argamassa impermeavel e resistente."
"45";"9 """;"João Ferreira Corrêa e José Mendes Ribeiro Camargo.";"Idem";"Um novo kalendario de desfolhar, intitulado - Kalendario Commercial."
"46";"14 de agosto de 1900.";"Francisco Paulino de Carvalho.";"Capital Federal";"Apparelho desinfectador automatico de la- trinas."
"47";"14 "" """;"João Cordeiro da Graça.";"Idem";"Apparelho patente para descarregar carvão e outros materiaes."
"48";"17 """;"Dr. Fernando Ferreira da Costa.";"Idem";"Processo para extrahir o amido das bananas em estado de pureza."
"49";"1 "" setembro de 1900.";"Antonio Candido Borges";"Idem";"Apparelho denominado - Gravador mecanico para o fabrico de assucar."
"50";"4 """;"Edwin Montague Wilkes, Emilio Julio Hess e Severiano Antonio de Castilho.";"Idem";"Um invento relativo ao emprego do ar lique- feito como força motora économica."
"51";"6";"Euzebio Maximiano Pi- res Ferreira.";"Idem";"Um novo systema de elasticos com ilhões ou ventiladores para sapatos, denominados - Hygienicos."
"52";"15 "" """;"Frederico Carlos da Cu- nha Junior.";"Idem";"Um apparelho destinado a fiscalisar o numero de passageiros em vehiculos publicos, deno- minado - Chronometro Fiscal."
"53";"24 "" """;"Manoel Cabral dos San- tos.";"Estado de S. Paulo";"Telegraphia sem pilhas Cabral"
"54";"28 "" """;"Engenheiro Civil Emilio Julio Hess.";"Capital Federal";"Um novo processo de utilisação do calor solar por intermedio do ar liquifeito."
"55";"28 "" "" "" """;"Idem";"Idem";"Um novo processo economico de fabricação do ar liquefeito."
"56";"8 outubro";"Thomaz Placido Teixeira de Faria.";"Idem";"Um pequeno apparelho destinado a fiscalisar as rendas dos bonds por meio de coupons de- nominado - Pregador coupon."
"57";"10 "" "" n";"Leandro Gomes Ribeiro.";"Idem";"Systema de processo de fiscalisação denominado - Systema de fiscalisação de bonds."
"58";"27 * > """;"Ernesto Gentilini";"Estado do Rio Grande do do Sul.";"Apparelho para produzir força util e continua."
"59";"23 novembro";"Domingos da Silva Araujo Lopes.";"Capital Federal";"Processo para ambrear cigarros e machinas para esse fim."
"60";"21 dezembro 1900.";"Euzebio Maximiano Pires Ferreira.";"Idem";"Novo systema de tingir pela electricidade, utilisando-se para este fim dos apparelhos communs de tinturaria."
"61";"27 "" "" "" """;"Angelo Casagrande";"Estado de Minas Geraes.";"Machina para extrahir as fibras do tronco e das folhas da bananeira."
