"";"N";"CONCESSIONARIO";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"152";"1.191";"Gregorio Yrurzum.";"Idem.";"Novo systema de motor a petroleo.";"";""
"153";"1.192";"Francisco v. de Coppet.";"E. U. da America do Norte";"Processo e apparelhos aperfeiçoados de fabricar gelo";"12";""
"154";"1.193";"Emile Camps";"Idem.";"Machinismo de fabricar tijolos e outras cera- micas pelo methodo secco";"";""
"155";"1.194";"Emmanuel Couret e Gaspard Paille";"Estado do Rio de Janeiro.";"Processo de lixiviação e clarificação dos assu- cares brutos e mascavos.";"";""
"155";"1.195";"Cateysson, Dethuins, Sergio & Comp.";"Capital Federal";"Novo apparelho portatil para a publicidade am- bulante, denominado - Porta Cartazes.";"";""
"157";"1.196";"Clodius Thierry e Manoel de Barros Taveira";"Idem";"Novo apparelho de clarificar os acetatos e outros liquidos impuros";"";""
"158";"1.197";"Arthur Lomello, Leopold Garrée e José Verdussen";"Idem.";"Novo systema de fechamento hermeto-automa- tico para diversas applicações industriaes";"";""
"159";"(966)";"Affonso de Albuquerque";"Estado de s. Paulo";"Melhoramentos na sua invenção privilegiada da cigarreira Paulista.";"18";"Emquanto durar a patente pri- mitiva n. 966,"
"160";"(1.007)";"Jorge Tude Estanislau de Barros";"Estado de S. Paulo";"Melhoramentos introduzidos na sua invenção privilegiada do-Ligador e Ensaccador Barros";"18 de Maio.";"Emquanto durar a patente pri- mitiva n. 1.007"
"161";"1.198";"Generoso Seinamalera";"Capital Federal";"Carvão de pedra artificial, com base de terra.";"";"15 annos."
"162";"1.199";"Bernardo Euzmam.";"Idem.";"Cobrador automatico para apparelhos telepho- nicos.";"";""
"163";"1.200";"Athanazio Chuchu e Durval Vieira de Aguiar";"Estado da Bahia";"Novo systema de fabricação de cimento denomi- nado-Cimento Bahiano- com os apparelhos para esse fim.";"";""
"16%";"1.201";"Theotonío Lucio de Mello";"Capital Federal";"Fechadura de segredo";"";""
"165";"1.202";"Antonio Luiz da Silva.";"Idem.";"Tecidos de borracha.";"25";""
"166";"1.203";"Francis v. de Coppet";"E. U. da America do Norte";"Machinas aperfeiçoadas de fabricar gelo";"";""
"167";"1.204";"o mesmo.";"Idem";"Systema automatico de encher as fôrmas das machinas de fabricar gelo";"";""
"168";"1.205";"João Nepemuceno Baptista";"Capital Federal";"Isolador de porcellana, com duplo gancho de metal para fixar fios telegraphicos e telepho- nicos, denominado - Isolador Baptista.";"";""
"169";"1.206";"Samuel Figueiredo";"Idem.";"Relogio a que deu o nome de - Kontrier.";"30";"15"
"170";"1.207";"Francisco Pinto Brandão";"Idem.";"Systema para desinfectar e purificar caldo de canna de assucar e outros succos de variados fructos para diversos misteres.";"";""
"171";"1.208";"Erste Oesterr Seifensieder Gewerke Gesells- chaft (socidade anonyma)";"Vienna.";"Novo refrigerante para a destillação dos acidos cebaceos edos vapores de carbono hydrogenado";"";""
"172";"1.20)";"Claudio Solanes";"Capital Federal";"Machina de fabricar tijolos, telhas, manilhas, e em geral, todos os productos da argila ou outra substancia plastica, sem o uso da agua e do amassamento,";"";""
"173";"1.210";"Frederico Carlos da Cunha, João Gon- calves de Albuquerque e Leopoldo de Carvalho Ribeiro";"Idem.";"Bonds a vapor accumulado,";"";""
"174";"1.211";"Antonio Tiburcio Gomes e Benedicto da Silva";"Idem.";"Preparado para a extincção da formiga saúva, denominado - Formecida Fluminense";"9 de Junho";""
"175";"1.212";"Lourenço Gomes Ferreira";"Idem.";"Applicação nova dos cipós philondendrem spe- ciosum schott, heteropsis hurt e banhinia á fabricação de mobilias";"";""
"176";"(1.030)";"Adrian Gajardo";"Valparaizo.";"Melhoramentos introduzidos na sua invenção privilegiada de apparelhos aperfeiçoados des- tinados a registrar o numero de pessoas que sahem dos";"";""
"177";"1.213";"Jayme Carlos da Silva Telles.";"Capital Federal.";"entram e carros de tranway, etc. Novas applicações do papel comprimido";"13 de Junho """;"Emquanto vigo- rar a primitiva patente. 15 annos,"
"178";"1.214";"Alfredo Eduardo Nogueira e Tobias Becker.";"Idem";"Novo systema de construcção de habitações.";"";""
"179";"1.215";"Edaein David Graff.";"Nova York.";"Signaes electricos para caminhos de ferro.";"";""
"180";"1.216";"Antonio Martins da Costa.";"Capital Federal.";"Nova fórma de fabricar calçado de toda a espe- cie denominado-I orma progresso.";"";""
"181";"1.217";"Alexandre Mac-Dongall.";"E. U. da America do Norte.";"Construcção aperfeiçoada de navios";"16";""
"182";"1.218";"Schneider & Comp.";"França.";"Aperfeiçoamentos nos mechanismos de fecha- mento de culatra das bocas de fogo";"";""
"183";"1.219";"James Hills Hartridge";"Londres";"Novas caixinhas aperfeiçoadas.";"";""
"184";"1.220";"Jean Van Der Mersh";"Estado de s. Paulo.";"Nova graxa brilhante, denominada-Estrella do Brazil";"";""
"185";"1.221";"Léon Soulerin,";"Pariz.";"Novo systema de freios continuos.";"";""
"186";"1.222";"Jeronymo Lopes de Castro Souza";"Estado de S. Paulo,";"Novo processo de fabricação de carvão de coke artificial";"";""
"187";"1.223";"Alberto José de Pimentel Hargreaves";"Capital Federal.";"Novo systema de calçamentos impermeaveis ou estanques.";"";""
"188";"1.224";"Benedicto Novella da Silva.";"Idem.";"Carros com ventiladores mechanicos, denomina- dos-Acougues ambulantes.";"20";""
"189";"1.225";"Dr. José Roberto da Cunha Salles.";"Idem.";"Processo para preparar a borracha em rolos, pães, tubos, folhas, laminas e para objectos moldados, bem como para vulcanisal-a.";"";""
"190";"1.226";"Antonio Honestinghel.";"Capital Federal";"Novo apparellho destinado a seccar massas ali- menticias ou outras, denominado-Seccador Salvatori.";"30 de Junho";"15 annos,"
"191";"1.227";"John William Mac Kay.";"E. U. da America do Norte.";"Plantador e semeador combinados";"";""
"192";"1.228";"Schneider & Comp.";"França";"Aperfeiçoamentos nos mechanismos de fechar a culatra dos canhões de tiro rapido.";"";""
"193";"1.229";"Adolpho Sydow";"Estado de S. Paulo.";"Novo systema de chave para as estradas de ferro e bonds.";"";""
"194";"1.230";"Jacob Kranss e João Lourenço de Almeida Castro";"Do 1° no estado de Minas e do 2° nesta cidade";"Processo de conservação de cereaes.";"";""
"195";"1.231";"Manoel José Fernandes da Rocha.";"Estado do Rio de Janeiro.";"Novo motor hydrodynamico, denominado - Motor Brazil.";"";""
"196";"1.232";"Francisco Gomes Pereira de Lyra.";"Estado de Pernambuco";"Machina a vapor aperfeiçoada";"";""
"197";"1.233";"John Sherrington.";"Estado de S. Paulo.";"Carrinho denominado-Caçamba volante-desti- nado ao serviço de terreiro para café.";"3 de Julho";""
"198";"1.234";"Jean Baptiste Arthur Doffoil.";"Pariz.";"Aperfeiçoamentos nos arções e almofadas de sellins para corridas e outras sellas";"";""
"199";"1.235";"Samuel Van Buren Essik.";"Nova York";"Aperfeiçoamentos em telegraphos impressores.";"";""
"200";"1.236";"Louis Arsene Desy.";"Montreal.";"Novo escavador";"";""
"201";"1.237";"Julius Alexander Nicolay Rasmussen e Franz Marcotty";"Do 1° em Copenhague e do 2° em Berlim";"Pá de cabo extensivo, podendo servir de sup- porte para espingardas.";"";""
