"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"65";"2518";"Alvaro Botelho, Gautler Comp.";"S. Paulo.";"Applicação da força centrifuga á separação dos corpos por tamanho, fórmas ou natu- rezas diversas e appirelhos para essse tim denominado Separador Centrifugo Univer- sal";"Idem";""
"66";"2519";"Ury Gunzburg";"Viluy-sur-Seine (França)";"Um processo de conservação e seccamento das pelles";"Idem";"Idem."
"67";"2320";"Bueney Clark Batcheller.";"Philadelphia ( E. U. da America do Norte).";"Systema aperfeiçoado de transmissão pneu- matica de volumes, objectos de correio.";"Idem";"Idem."
"68";"2521";"Narciso Figueiras";"Capital Federal.";"Utensilios calligraphicos denominados Argolas de posição calligraphica para a mão dureita, systema Figueiras";"Ide:n";"Idem."
"69";"2522";"Dr. John James Marchand.";"Idem";"Um novo e aperfeiçoado motor rotativo de expausão";"13 de abril";"Idem."
"70";"2286";"Francisco Silverio de Oliveira.";"Idem";"Melhoramentos que introduziu em sua inv nção de processo de refinação do sal marinho, denominado sal de coação alimentar privi- legiada pela pitente n. 2286, de 11 de ju- nho de 1897";"Idem";"Emquanto"
"71";"2523";"HIenri Ulique Delforge.";"Idem";"Um apparelho para marcar os contadores de passageiros nos bonds";"14 de abril";"rar a patente n. 2286 da de junho 1897. 15 annos."
"72";"2524";"Company for the introduction of the pro- ceeding Muller Turgan.";"Berne (Suissa)";"Processo de fabricação e conservação de vinhos de fructas e de uvas";"";""
"73";"2525";"França & Mursa";"S. Paa'o.";"Carteira para cigarros";"18 de abril Idem";"Idem. Idem."
"74";"2526";"Frederico Carlos da Cunha Junior";"Capital Federal";"Uma telha dehominada: Telha calha.";"23 de abril ";"Idem."
"75";"2527";"Eugenio Elmo";"S. Paulo.";"Novo gerador de gaz acetyleno - segurança - systema Eimo";"25 de abril .";"Idem."
"76";"2528";"Augusto Magalhães de Barros Vasconcellos e Giovanni Rasina";"Capital Federal";"Um apparelho frigorifico denominado Frigorifico Hygienico Excelsior, com adaptação a car- ros de transporte e venda de carne verde e mais generos alimenticios, animaes e vegetaes.";"26 de abril";"15 annos."
"77";"2529";"The International Telescriptor Syndicate, Limited";"Londres (Inglaterra).";"Uma machina de escrever á distancia, denomi- nada . Telescriptor*";"27 de abril";"Idem."
"78";"2530";"Nicolau Ugolinucci Savini";"Capital Federal";"Uma "" Capsula rolha ., para garrafas";"Idem";"Idem."
"79";"2531";"Dr. Henrique Ladislau de Souza Lopes";"Idem";"Novo formicida denominado Sauvicida desti- nado a matar especialmente as formigas saúvas";"Idem";"Idem."
"80";"2532";"Henrique Schayé";"Idem";"Preparado contra a caspa, denominado <<Solução Schayé";"28 de abril";"Idem."
"81";"2533";"Erza Torrence Gilliland";"Pelham Mano (E. U. da Ame- rica do Norte)";"Aperfeiçoamentos na fabricação dos cigarros de boquilha";"Idem";"Idem."
"82";"2534";"Birney Clarck Batcheller";"Philadelphia (E.U. da Ame- rica do Norte)";"Methodo para determinar a posição de obsta- culos em systemas de tubos pneumaticos ou outros e apparelhos para esse fim.";"Idem";"1dem."
"83";"2429 (bis)";"Carlos Poma.";"Capital Federal";"Melhoramentos que introduziu em sua invenção de - Novo systema de gazogeneo, destinado á fabricação automatica do gaz acetyleno, deno- minado & Lucifer Lucenfert - privilegiada pela patente n. 2429, de 2 de dezembro de 1897.";"29 de abril";"Emquanto vigo- rar a patente n. 2429, de 2 de dezembro de 1897."
"84";"2535";"Henry Parton von Ucle";"Bruxellas (Belgica)";"A perfeiçoamentos em ou relativos a motores gaz";"a Idem";"15 annos."
"85";"2536 :";"Oscar Orlando Mouren e João Baptista Magno de Carvalho.";"Capital Federal";"Um livro denominado Diario medico";"Idem";"Idem."
"86";"2537";"Francisco Manoel da Silva.";"Idem";"|Bico aperfeiçoado para ser collocado em qual- quer vidro, para substituir as mamadeiras";"5 de maio";"Idem."
