"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.888";"31";"Pedro Baptista";"Estado do Pará";"Processo de conservação por tempo illimitado do leite da gomma elastica."
"2.889";"31 "" """;"Manoel Ferreira Tunnes";"Capital Federal,";"Novo systema de placas para letreiros, taboletas ou. adornos para moveis, vitrines, etc."
"2.904";"9 de setembro de 1899.";"José Antonio Alves Vianna.";"Capital Federal.";"Apparelho destinado a facilitar o transporte de embarcações miudas, principalmente as de re- gatas. denominado systema-Vianna."
"2.905";"9 "" "" """;"Francisco de Camargo Pinto";"Estado do Paraná";"Nova machina destinada a marcar barricas."
"2.906";"11 "" """;"Virgilio da Silva Ramos";"Capital Federal.";"Apparelho denominado- Corta couce, que tem por fim evitar os couces dos animaes."
"2.907";"12 "" """;"Dr. Hugo Strache.";"Austria";"Apparelho de mudança de direcção do ar e gaz, em geradores de gaz pela agua."
"2.908";"12 "" """;"Joh Fried Walhuam & Comp. Josef Erick.";"Allemanha";"Freio de linha ferrea para parar trem em movi- mento."
"2.909";"16 """;"Alexander Mass";"Inglaterra";"Aperfeiçoamento em apparelhos para tingir, bran- quear, secear e tratar de modos semelhantes fios em maçarocas ou espulas."
"2.910";"16 """;"Ernest Brulé";"Estado de Alagoas.";"Novo systema de grelhas para fornalhas."
"2.911";"21";"Jesler & Hoennun";"Estado da Bahia";"Aperfeiçoamento em fabrico de charutos."
"2.912";"21 """;"Pedro Schubert";"Estado de Minas Geraes.";"Machina combinada para beneficiar café, denomi- nada - Machina Schubert."
"2.913";"21";"The American Cotton Company";"Estados Unidos da America do Norte.";"Apparelho de enfardar algodão."
"2.914";"21 """;"Dr. Ludwig Mack";"Allemanha";"Nova liga de allumio."
"2.915";"22 "" """;"José Worms, Dr. Amaro Rodrigues de Albuquerque Figueiredo e João Baptista de Miranda Jordão.";"Capital Federal.";"Novo carvão artificial."
"2.916";"23 "" >>";"Hans Peter Junsen";"Estado do Rio de Janeiro";"Motor hydraulico Junsen."
"2.917";"27 "" """;"Clemens Dorr";"Allemanha";"Processo para fabricar massas duras, aquecendo breu e corpos solidos."
"2,918";"27";"José Vicente Marella";"Capital Federal.";"Apparelho gerador de gaz acetyleno, denominado - Gazometro Universal Marella."
"2.919";"3 de outubro """;"Manoel Cabral dos Santos";"Estado de S. Paulo";"Telephone Cabral."
"2.920";"";"Birney Clark Batcheller.";"Estados Unidos da America do Norte.";"Novos aperfeiçoamentos em systema de transportes ou transmissão pneumatica."
"2.921";"4 A";"Avelino Novas Teixeira";"Estado de S. Paulo";"Novo processo mecanico de tratamento de man- dioca."
"2.922";"4 "" """;"Franz Wartenquerger";"Allemanha";"Processo de curtidura por meio de acido picrico."
"2.923";"4 "" "" >>";"Societé Anonyme des Brevets Dolter.";"Erança";"Novo systema de commutação destinada á tracção electrica."
"2.921";"4 "" "" """;"José Francisco Corrêa & Comp -";"Capital Federal.";"Apparelho applicavel ás machinas de cigarros con- tinuo, para ambrear a fita de papel continua."
"2.925";"4 """;"Antonio Gonçalves de Carvalho";"Idem";"Nova fórma aperfeiçoada para a fabricação de cal- çado."
"2.926";"""";"Commendador J. A. Ribeiro de Car- valho.";"Idem";"Novo systema de fabrico de festões de papel e ar- tefactos semelhantes, empregados como enfeites e decorações."
"2.927";"6 > "" "" """;"Raoul Tun.";"França";"Apparelho productor de gaz acetyleno."
"2.928";"6 "" """;"José Rodrigo Botet e Antonio Tena- lavoro.";"Estado de S. Paulo";"Apparelho hydromotor, denominado - Neptuno."
"2.929";"13";"Companhia Mc. Hardy";"Idem";"Nova machina para descascar arroz, denominada - Descascador de arroz Mc. Hardy."
"2.930";"13";"Wilfred Ignatius Ohmer";"Allemanha";"Apparelho para imprimir e entregar bilhetes de estradas de ferro e outros."
"2.931";"13 >> """;"David Gilmour";"Canadá";"Aperfeiçoamentos na preparação da madeira em. pranchões, couçoeiras, taboas, etc., etc."
"2.932";"14 de outubro de 1889";"Joaquim de Castro";"Capital Federal.";"Limpa-trilhos - salva-vidas - America."
"2.933";"26 "" x """;"Dr. Johannes Meyer";"Estados Unidos da America do Norte.";"Processo aperfeiçoado para producção de pelliculas photographicas."
"2.134";"23 "" n """;"Joseph Espambella";"Capital Federal.";"Novo seccador para café e outras materias, systema Joseph Espambella."
"2.935";"26 "" "" """;"Dr. Raymond Combret";"França.";"Processo aperfeiçoado de curtimento de couros e pelles de todas as qualidades."
"2.935";"26 "" """;"José Constancio de Jesus";"Capital Federal.";"Preparado anti-febril denominado - Anti-sezonico de Jesus."
"2.937";"26 "" "" """;"Ernest Ruping e Dr. Wilhelm Laver";"Allemanha";"Processo para tornar as carnes, fructas, queijos, etc. capazes de resistirem á infecção e ás in- fluencias de temperatura e tempo."
"2.938";"28 "" "" "" """;"Virissimo Barbosa de Souza e Luiz José Monteiro";"Capital Federal.";"Apparelho dominador de incendio."
"2,939";"28 "" "" x """;"Borel & Comp.";"Idem";"Nova carteira para cigarros."
"2.940";"28 "" "" """;"Ortigão & Gunsmer.";"Idem";"Novo systema de vistas transparentes coloridas ou não."
"2.941";"28 "" "" """;"João Gatel Solà";"Idem";"Nova caixa hygienica para livro."
"2.942";"3 de novembro de 1893.";"Aloys Dnesler e George Marchke.";"Idem";"Processo de purificação e liquefação do acido car- bonico obtido pelo processo de fermentação al- coolica."
"2.959";"22 de novembro de 1898.";"Henry James Kismmam e Eduardo Nosh Hurley.";"Estadas Unidos da America do Norte.";"Nova machina portatil de furar ou brocar."
