"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"140";"1505";"Ernest Brulé fils.";"Idem";"Systema de construcção de casas e edificios de todo o genero por meio do papel compri- mido";"20 de Setembro.";"Idem."
"141";"1506";"Prudencio Sans, Santiago Chile, Hermann Joseph George Moll e Alberto José da Costa";"Idem.";"Polvora vegetal";"Idem";"Idem."
"142";"1507";"José de Azevedo Silva";"Idem";"Cáes amoviveis fluctuantes, com applicação aos mesmos effeitos de cães fixos para carga e descarga dos navios";"27 de Setembro.";"Idem."
"143";"1503";"Dr. Manoel Freitas Paranhos e Henrique Sastré";"Idem.";"Pedras artificiaes para calçamento denominadas - Pedras mineraes ferreas";"4 de Outubro.";"Idem."
"144";"1509 1510";"Custodio Teixeira da Silva (1)";"Estado de S. Paulo";"Cognac crystallisado";"Idem.";"Idem."
"145";"1511";"Manoel Francisco dos Santos";"Idem";"Ventilador aperfeiçoado para ventilar o café descascado, separando a palha e a casea, de- nominado - Ventilador Santos";"11 de Outubro.";"Idem."
"146";"1512";"Joaquim Gomes Jardim";"Idem";"Novo systema de fornalha economica, denomi- nada - Fornalha Jardim.";"Idem.";"Idem."
"147";"1513";"Francisco Garcia Pereira Leão";"Capital Federal";"Systema de canalisação destinado a evitar a formação de bancos de arêa nas fozes dos rios, nas embocaduras dos canaes e nas entra- das das bahias.";"Idem.";"Idem."
"148";"1514";"Joaquim da Silveira Mello.";"Estado de-S. Paulo";"Nova machina para descascar café, denominada - Descascador Silveira Mello";"25 de outubro";"Idem"
"149";"1515";"James Richards Haskell";"Estados Unidos da America de Norte";"Apenfeiçoamentos em peças de artilharia";"Idem.";"Idem."
"150";"1516";"O mesmo.";"Idem";"Aperfeiçomentos em peças de artilharia de carga multipla";"Idem";"Idem."
"151";"1517";"Stefan von Kvassay";"Imperio Austro-Hungaro.";"Motor de agua e de vento.";"Idem";"Idem."
"152";"1518";"Henrique Sastré & Comp.";"Capital Federal";"Madeira-ferro nacional,";"Idem";"Idem."
"153";"1519";"Narciso Figueiras";"Idem.";"Novo systema de. pautados, denominados Pautados calligraphicos metrificados.";"Idem";"Idem."
"154";"1520";"Plaul Susini";"Pariz.";"Novo motor a vapor de ether ou outro liquido volatil";"Idem";"Idem."
"155";"1521";"O mesmo.";"Idem.";"Novo motor a vapor de ether sem fogão ou outros liquidos volateis, addicional aos mo- tores a vapor de agua, ordinarios.";"Idem";"Idem"
"156";"1522";"O mesmo.";"Ildem";"Motor a vapor de ether ou outros liquidos volateis, utilisando os calores perdidos nos motores a gaz ou similares.";"Idem";"Idem."
"157";"1523";"Carlos Amsletter";"Estado de . S. Paulo.";"Transporte de madeiras por systema hydro- pneumatico.";"Idem.";"Idem."
"158";"1525";"Francisco Garcia Castanheda.";"Capital Federal";"Salva-vidas e estribos de segurança para bonds, denominado - Systema Castanheda";"Idem.";"Idem"
"159";"1524";"Francis Patrick Martin e John Thomas Martin";"Estados Unidos da America do Norte.";"A perfeiçoamentos em guarnição de caixas de sobre-postas ou caixas de estopa para guias, hastes de valvulas, hastes de pistão e de bomba, de locomotivas de machinas fixas ou cutras.";"28 de outubro";"Idem."
"160";"1526";"Carlos Cockrane de Araujo Gondin.";"Capital Eederal.";"Engate automatico - Systema rapido";"8 de novembro";"Idem."
"161";"1527";"Francis Patrick Martin e John Thomas Martin.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em guarnição metallica de caixas de sobre-postas ou caixas de estopa para guias, hastes de valvula, de pistão e de bomba, de locomotivas e de machinas fixas ou outras";"Idem.";"Idem."
"162";"1528";"Elias Elkan Ries";"Estados-Unidos da America do Norte";"Aperfeiçoamentos em pedestaes ou soccos e regulação para lampadas electricas e outros apparelhos electricos";"8 de novembro.";"15 annos."
