"";"N";"CONCESSIONARIOS";"DOMICILIOS";"OBJECTO";"DECEETO";"DURAÇÃO"
"130";"2.109";"Alberto Meyenberg, Maximilian Wendorf e Siegmund Henlein";"Allemanha";"Lampada para petroleo, de luz incandescente.";"25 de agosto.";"Idem."
"131";"2.110";"Jean Joseph Auguste Trillat";"Pariz";"Processo para obtenção dos vapores de formal- dehyde";"23 de agosfo";"Idem."
"132";"2.111";"Charles Taverne.";"Capital Federal";"Invenção relativa á fabricação do gaz acety- lene obtido com o carboreto de calcio";"29 de agosto";"Idem."
"133";"2.112";"Penmington Motor Fereign, Patents Syn- dicat Limited";"Londres";"Aperfeiçoamentos em machinas de explosão e no methodo de misturar e neutralisar os gazes nas mesmas.";"2 de setembro.";"Idem."
"134";"2.113";"José Rodrigo Bottet, Salvador Barrada e Antonio Rodrigues de Barros";"Capital Federal";"Novo systema de fabricação de benzina deri- vados benzinicos, servindo-se do Lignito";"5 de setembro.";"Idem."
"135";"2.114";"Os mesmos";"Idem";"Novo systema de obtenção do gaz de illumina- ção servindo.se do Lignito";"Idem";"Idem."
"136";"2.115";"Os mesmos";"Idem";"Applicação completamente nova do Lignito ás industrias e banistaria, marcenaria, tornoa- rla, carpintaria, bijouteria e industrias an- nexas";"Idem";"Idem."
"137";"2.116";"Charles Taverne";"Idem";"Apparelho denominado - Lucifer - para aque- cer geradores, caideiras e fornos";"10 de setembro.";"Idem."
"138";"2.117";"o mesmo";"Idem";"Apparelho denominado - Stella - para fa- bricar o gaz acetylene com carboreto de calcio.";"Idem";"Idem."
"139";"2.118";"Antonio José Fontes Junior.";"s. Paulo.";"Novo systema de tijolo";"dem";"Idem."
"140";"2.119";"George Gruber";"Idem";"Invenção relativa á applicação do pó de talco ao tratamento ou beneficiamento do café";"Idem";"Idem"
"141";"2.002 (bis)";"Hivam Stevens Maxim.";"Londres";"Melhoramentos que introduziu em sua invenção de aperfeiçoamentos em canhões automaticos, privilegiada pela patente n. 2.003 de 4 de fevereiro do corrente anno";"18 de setembro.";"Emquanto vigo- rar a patente n. 2.003."
"142";"2.120";"Ebenezer Benton Becoher e Jacob Puhen Wright";"Estados Unidos da America do Norte";"Aperfeiçoamento em machina de fabricar phos- phoros";"Idem";"15 annos."
"143";"2.121";"Fernando Deleroix.";"Capital Federal";"Systema de exploração das pedreiras. deno- minado - Cabo Helicoidal,";"21 de setembro.";"plem."
"144";"2.122";"Thomaz Tutcher.";"Wellington, Nova Islandia.";"Composição aperfeiçoada para applicar-se ao material fixo de estradas de ferro para des- truir a vegetação, evitar que a madeira apodreça e que os trilhos e prisões se oxidem, sendo tambem a dita composição applicavel com outros fins preservativos.";"25 de setembro.";"I Idem."
"145";"2.123";"Charles Langdon Davies.";"Keneigton (Inglaterra.)";"Aperfeiçoamento na transmissão de signaes telegraphicos pelos cabos submarinos ou outros conductores semelhantes";"Idem";"I Idem."
"146";"2.124";"Adolf Gutensohn";"Londres";"Processo de desaggregação de quartzo e mine- reos analogos e apparelhos para este tim.";"Idem";"Idem."
"147";"2.125";"Warren Cole Junior e James Crawford Woodward.";"Kmoxville (Estados Unidos da America do Norte)";"A perfeiçoamento em docéis para eamas";"Idem";"Idem."
"148";"2.126";"Jacob Puhen Wright";"New Kanen (idem idem).";"Aperfeiçoamento nas machinas de fabricar phosphoros";"Idem";"Idem."
"149";"2.127";"Dr. Eduardo Ferreira França";"Capital Federal";"Novo systema de publicidade industrial";"29 de setembro.";"Idem."
"150";"2.128";"James Woolford";"Londres";"Processo para a extracção de metaes preciosos dos minerios refractarios, por meio do anti- monio e para a recuperação do antimonio que se empregar.";"Idem";"Idem."
"151";"2.129";"João Ferreira Rebello";"Amparo (S. Paulo)";"Machinismo intitulado - Rodeio bitolico - ap- plicavel à passagem de wagon de estrada de ferro de qualquer bitola para uma outra mais larga ou mais estreita";"6 de outubro";"15 annos."
"152";"2.130";"Compagnie Continentalle d'eclaivage I pour le gas acetylene.";"Pariz";"Apparelho para a producção do acetileno";"Idem.";"Idem."
"153";"2.131";"Malcolm Bernhard Martenson's";"Capital";"Systema de medir e registrar automaticamente a luz do gaz, por meio da fumaça da propria chamma, denominado - Mortenson's Regis- trating Photometer";"Idem";"Idem."
"151";"2.132";"José Francisco de Navarro";"New-York";"Aperfeiçoamento em fornos para fabricação de cimento";"Idem";"Idem."
"155";"2.133";"Antonio Rodrigues de Barros e Alvaro da Cunha Bastos.";"Piracicaba (S. Paulo)";"Apparelho despertador aperfeiçoado";"Idem";"Idem."
"156";"2.134";"José Francisco Ribeiro de Mendonça e Gaspar L. Domingues";"Itaborahy e Pernambuco";"Systema de marcas a fogo para animaes, deno- minada - Systema Domingues";"7 de Outubro";"Idem."
"157";"1.540 (bis)";"José Simão da Costa";"Capital Federal";"Melhoramentos introduzidos na invenção de um novo systema de calçamento, denominado - Pavimento Sanitario Fluminense -, destinado a substituir os actuaes empedramentos das ruas e tambem applicavel a tectos e soalhos, privilegiado pela patente n. 1.540, de 27 de dezembro de 1892";"";""
"158";"2.135";"Madame Thomaz";"Pariz";"Véos incandescentes para bicos de gaz e outros";"13 de outubro . 13 de outubre";"Emquanto vigo- rar a patente n. 1310. 15 annos."
"159";"2.136";"Antonio da Silveira Macedo";"Capital Federal";"Estrado denominado - Tapete Macedo -";"Idem";"Idem."
"160";"2.137";"Dr. Alvaro Carlos de Arruda Botelho";"s. Paulo";"Melhoramentos introduzidos no d :scascador de café denominado - Descascador Teixeira - privilegiado pela patente n. 1.607, de 16 de julho de 1893";"13 de outubro";"15"
"161";"2.138";"Socièté Anonyme de l'Institution Raoul Picet";"Friburgo ( Suissa )";"Processo e apparelho para producções de mis- turas) gazosas de base alclehyde formica pura, destinados á desinfecção";"Id m";"Idem."
